facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
AIRPORT ENDOSCOPY CENTER,05C0001514,1013980317,LOS ANGELES,CA,90045,2024,0.000,,0.000,,0.000,,0.066,,100.00,,,5,155,No Different Than the National Rate,10.1,7.2,14,,,5,,5,,,,,,5,,,,,,5,,,,,,5
MAYFAIR DIGESTIVE HEALTH CENTER LLC,52C0001053,1013984657,WAUWATOSA,WI,53226,2024,0.000,,0.000,,0.000,,0.037,,92.71,,,5,1066,No Different Than the National Rate,9.6,7.2,13.1,,,5,,5,,,,,,5,,,,,,5,,,,,,5
POPP COSMETIC SURGERY PC,28C0001029,1013984665,OMAHA,NE,68164,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
AUGUSTA PLASTIC SURGERY CENTER INC,11C0001090,1013990308,AUGUSTA,GA,30901,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,79,No Different than expected,0.9,0.5,1.6,
SYNERGY SPINE CENTER,42C0001042,1013996750,SENECA,SC,29678,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
THE EYE SURGERY CENTER OF EAST TENNESSEE,44C0001064,1013997915,KNOXVILLE,TN,37909,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.050,,,,,,,5,,,,,,5,,,,,,5
BLOOMINGTON SURGERY CENTER,15C0001024,1013999580,BLOOMINGTON,IN,47403,2024,0.000,,0.000,,0.000,,0.014,,,5,,5,,,,,,5,,5,0.040,,,,,,,5,,,,,,5,,,,,,5
SOUTHERN ILLINOIS ORTHOPEDIC CENTERLLC,14C0001086,1023001377,HERRIN,IL,62948,2024,0.000,,0.053,,0.000,,0.106,,,5,,5,,,,,,5,97.25,,,5,402,No Different Than the National Rate,3,2,4.3,,,,,,,5,,Number of Cases Too Small,,,,1
ROANOKE VALLEY CENTER FOR SIGHT LLC,49C0001021,1023005139,SALEM,VA,24153,2024,0.000,,0.000,,0.006,,0.086,,,5,,5,,,,,,5,100.00,,0.146,,,,,,,5,,,,,,5,82,No Different than expected,0.9,0.5,1.6,
THE GABLES SURGICAL CENTER,10C0001322,1023005600,MIAMI,FL,33134,2024,0.000,,0.000,,0.000,,0.000,,0.00,,0.00,,,,,,,5,91.22,,0.000,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
THE ENDOSCOPY CENTER LLC,39C0001152,1023006079,LANSDALE,PA,19446,2024,0.000,,0.056,,0.000,,0.111,,93.37,,,5,3580,No Different Than the National Rate,9.6,7.6,12.4,,,5,,5,,,,,,5,,,,,,5,,,,,,5
BLUE RIDGE SURGICAL CENTER LLC,26C0001072,1023010311,KANSAS CITY,MO,64133,2024,,5,,5,,5,0.042,,,5,,5,,,,,,5,,5,4.446,,,,,,,5,,,,,,5,,,,,,5
TUCSON GASTROENTEROLOGY INSTITUTE LLC,03C0001240,1023015989,TUCSON,AZ,85712,2024,0.000,,0.000,,0.000,,0.048,,81.72,,,5,2989,No Different Than the National Rate,9.8,7.6,12.5,,,5,,5,,,,,,5,,,,,,5,,,,,,5
BAYSIDE AMBULATORY CENTER LLC,10C0001415,1023036688,MIAMI,FL,33133,2024,0.000,,0.011,,0.011,,0.090,,100.00,,,5,362,No Different Than the National Rate,9.2,6.6,12.5,,,5,0.717,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,29,No Different than expected,0.9,0.5,1.7,
CAPE SURGERY CENTER LLC,44C0001157,1023039195,DYERSBURG,TN,38024,2024,,5,,5,,5,0.023,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
BEVERLY HILLS ENDOSCOPY LLC,05C0001708,1023039682,BEVERLY HILLS,CA,90211,2024,,5,,5,,5,,5,,5,,5,165,No Different Than the National Rate,10,7.2,14.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
AESTHETIC EYE ASSOCIATES PS,50C0001089,1023043445,KIRKLAND,WA,98033,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
GAILEY EYE SURGERY DECATUR,14C0001130,1023056090,DECATUR,IL,62526,2024,,5,,5,0.089,,0.089,,,5,,5,,,,,,5,,5,0.535,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
PHYSICIANS DAY SURGERY CENTER,04C0001010,1023057916,PINE BLUFF,AR,71603,2024,,5,,5,,5,0.072,,,5,,5,,,,,,5,,5,0.153,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
TOMS RIVER SURGERY CENTER,31C0001153,1023070026,TOMS RIVER,NJ,08753,2024,,5,,5,,5,,5,15.38,,,5,124,No Different Than the National Rate,9.6,6.7,13.3,,100.00,,,5,363,No Different Than the National Rate,2.4,1.6,3.6,,,,,,,5,92,No Different than expected,1,0.5,1.7,
SAHARA OUTPATIENT SURGERY CENTER LTD,29C0001022,1023071180,LAS VEGAS,NV,89102,2024,0.000,,0.050,,0.000,,0.076,,,5,,5,,,,,,5,100.00,,,5,87,No Different Than the National Rate,2.3,1.4,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
MEDICAL PLAZA AMBULATORY SURGERY CENTER ASSOCIATES LP,45C0001157,1023071560,FORT WORTH,TX,76104,2024,0.000,,0.021,,0.000,,0.166,,93.65,,,5,389,No Different Than the National Rate,9.5,6.9,13,,100.00,,0.539,,133,No Different Than the National Rate,2.5,1.7,3.8,,,,,,,5,27,No Different than expected,1.1,0.6,2,
THE SURGICAL CENTER OF SOUTH JERSEY EYE PHYSICIANS,31C0001069,1023072824,MOORESTOWN,NJ,08057,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.675,,,,,,,5,,,,,,5,,,,,,5
ARIZONA EYE INSTITUTE AND COSMETIC LASER CENTER,03C0001261,1023074291,SUN CITY WEST,AZ,85375,2024,0.000,,0.000,,0.000,,0.064,,,5,,5,,,,,,5,,1,0.064,,,,,,,5,,,,,,5,,,,,,5
PANAMA CITY SURGERY CENTER,10C0001407,1023088473,PANAMA CITY,FL,32405,2024,,5,,5,,5,0.218,,94.44,,,5,502,No Different Than the National Rate,11.2,8.2,15.2,,99.64,,,5,314,No Different Than the National Rate,2.7,1.9,3.9,,200,No Different Than the National Rate,5.8,3.9,8.2,,250,No Different than expected,1.6,1,2.5,
VISION CARE OF MAINEAROOSTOOK LLC,20C0001005,1023104825,PRESQUE ISLE,ME,04769,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,1,1.883,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SURGICAL CENTER OF CONNECTICUT,07C0001029,1023113701,BRIDGEPORT,CT,06606,2024,,5,,5,0.065,,0.196,,97.62,,,5,93,No Different Than the National Rate,10,7.1,14,,99.30,,,5,64,No Different Than the National Rate,2.4,1.5,3.8,,66,No Different Than the National Rate,5.4,3.5,8.2,,,Number of Cases Too Small,,,,1
MAIN LINE ENDOSCOPY CENTER WEST,39C0001137,1023115078,MALVERN,PA,19355,2024,0.000,,0.029,,0.000,,0.116,,91.32,,,5,4647,No Different Than the National Rate,8.3,6.6,10.6,,,5,,5,,,,,,5,,,,,,5,,,,,,5
ASSOCIATES SURGERY CENTERS LLC,39C0001236,1023123296,WEST MIFFLIN,PA,15122,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.052,,,,,,,5,,,,,,5,,,,,,5
LOCUST GROVE ENDO CENTER,11C0001296,1023134640,LOCUST GROVE,GA,30248,2024,0.000,,0.000,,0.000,,0.136,,100.00,,,5,561,No Different Than the National Rate,9.7,7.1,13.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
THOSAND OAKS SURGERY CENTER,05C0001921,1023159860,THOUSAND OAKS,CA,91320,2024,0.000,,0.040,,0.000,,0.120,,,5,,5,,,,,,5,100.00,,,5,48,No Different Than the National Rate,2.3,1.4,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
ALBANY SURGERY CENTER LLP,11C0001043,1023160553,ALBANY,GA,31701,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
JCMG SURGERY CENTER INC,26C0001049,1023169380,JEFFERSON CITY,MO,65109,2024,0.010,,0.040,,,5,0.040,,100.00,,,5,1595,No Different Than the National Rate,10,7.5,13.2,,87.00,,,5,551,No Different Than the National Rate,2.5,1.8,3.6,,,,,,,5,56,No Different than expected,0.9,0.5,1.7,
MAYS AND SCHNAPP PAIN CLINIC AND REHABILITATION CENTER,44C0001053,1023182581,MEMPHIS,TN,38120,2024,0.000,,0.049,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
ANNE ARUNDEL UROLOGICAL SURGERY CENTER,21C0001235,1023199601,ANNAPOLIS,MD,21401,2024,,5,,1,,5,,1,,5,,5,,,,,,5,,5,,5,,,,,,5,1713,Better Than the National Rate,4.2,3.4,5.2,,,,,,,5
DURANGO OUTPATIENT SURGERY CENTER,29C0001073,1023218500,LAS VEGAS,NV,89113,2024,,5,0.015,,,5,0.181,,41.67,,,5,189,No Different Than the National Rate,10.5,7.6,14.6,,100.00,,,5,210,No Different Than the National Rate,2.3,1.5,3.5,,,Number of Cases Too Small,,,,1,73,No Different than expected,0.9,0.5,1.7,
GASTRO SPECIALISTS ENDOSCOPY CENTER LLC,11C0001350,1023252954,DECATUR,GA,30032,2024,0.000,,0.000,,0.000,,0.182,,95.15,,,5,288,No Different Than the National Rate,9.8,7,13.4,,,5,,5,,,,,,5,,,,,,5,,,,,,5
TAMPA SURGERY CENTER LLC,10C0001542,1023256187,TAMPA,FL,33618,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.000,,,,,,,5,,,,,,5,,,,,,5
CAROLINA DIGESTIVE DISEASES PA,34C0001161,1023257300,GREENVILLE,NC,27834,2024,,5,,5,,5,,5,90.11,,,5,1283,No Different Than the National Rate,9.9,7.4,13.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
CENTER FOR PAIN MANAGEMENT ASC LLC,21C0001396,1023266145,GLEN BURNIE,MD,21061,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
DAY SURGERY AT RIVERBEND,38C0001089,1023271459,SPRINGFIELD,OR,97477,2024,,5,0.074,,0.025,,0.322,,,5,,5,,,,,,5,100.00,,,5,87,No Different Than the National Rate,2.3,1.4,3.7,,,Number of Cases Too Small,,,,1,269,No Different than expected,1.2,0.7,1.9,
PHYSICIANS SURGERY CENTER LLC,14C0001028,1023297553,CARBONDALE,IL,62901,2024,,5,0.049,,,5,0.443,,,5,,5,,,,,,5,100.00,,0.143,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,55,No Different than expected,0.9,0.5,1.7,
TEXAS HEALTH SURGERY CENTER ADDISON,45C0001541,1023316197,DALLAS,TX,75287,2024,0.000,,0.000,,0.000,,0.094,,,5,,5,,,,,,5,100.00,,,5,47,No Different Than the National Rate,2.6,1.6,4.1,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
OPHTHALMOLOGY SURGERY CENTER OF DALLAS LLC,45C0001508,1023341740,DALLAS,TX,75231,2024,0.000,,0.000,,0.010,,0.056,,,5,,5,,,,,,5,0.00,,0.178,,,,,,,5,,,,,,5,65,No Different than expected,0.9,0.5,1.7,
HATTIESBURG SURGERY CENTER LLC,25C0001076,1023343720,HATTIESBURG,MS,39402,2024,,5,,5,,5,0.242,,95.12,,,5,55,No Different Than the National Rate,9.8,6.9,13.6,,,5,,5,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,118,No Different than expected,1.2,0.7,1.9,
PICCARD SURGERY CENTER LLC,21C0001508,1023349909,ROCKVILLE,MD,20850,2024,0.000,,0.080,,0.000,,0.160,,,5,,5,,,,,,5,100.00,,,5,166,No Different Than the National Rate,2.3,1.5,3.5,,,,,,,5,,Number of Cases Too Small,,,,1
THE EMORY CLINIC INC,11C0001064,1023359627,ATLANTA,GA,30327,2024,0.195,,0.000,,0.000,,0.390,,,5,,5,,,,,,5,93.07,,,5,,Number of Cases Too Small,,,,1,,,,,,5,69,No Different than expected,1,0.5,1.8,
VISTA SURGICAL CENTER,36C0001278,1023373628,CANTON,OH,44718,2024,0.000,,0.049,,0.016,,0.181,,,5,,5,,,,,,5,100.00,,0.289,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
MIDWEST SPECIALTY SURGERY CENTER LLC,15C0001186,1023373834,INDIANAPOLIS,IN,46241,2024,0.000,,0.242,,0.000,,0.120,,,5,,5,,,,,,5,100.00,,,5,474,No Different Than the National Rate,2.3,1.6,3.2,,,,,,,5,,Number of Cases Too Small,,,,1
ADVANCED MULTISPECIALTY SURGERY CENTER,05C0002009,1023391141,BEVERLY HILLS,CA,90211,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
CANDESCENT EYE SURGICENTER LLC,41C0001002,1023399318,WARWICK,RI,02886,2024,0.000,,0.018,,0.000,,0.146,,,5,100.00,,,,,,,5,100.00,,0.183,,,,,,,5,,,,,,5,,,,,,5
TEXAS ENDOSCOPY PLANO,45C0001277,1023420577,PLANO,TX,75093,2024,,5,,5,,5,,1,85.64,,,5,1343,No Different Than the National Rate,10.8,8,14.4,,0.00,,,5,,,,,,5,,,,,,5,,,,,,5
TEXAS ENDOSCOPY CENTERS LLC DBA TEXAS ENDOSCOPY,45C0001390,1023420577,PLANO,TX,75093,2024,,5,,5,,5,,1,85.64,,,5,1343,No Different Than the National Rate,10.8,8,14.4,,0.00,,,5,,,,,,5,,,,,,5,,,,,,5
GREAT LAKES AMBULATORY SURGERY CENTER,36C0001293,1023498219,MENTOR,OH,44060,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
SOUTH PERRY ENDOSCOPY PLLC,50C0001321,1023507183,SPOKANE,WA,,2024,,5,,5,,5,,5,,5,,5,219,No Different Than the National Rate,10.9,7.8,15.4,,,5,,5,,,,,,5,,,,,,5,,,,,,5
BATON ROUGE VASCULAR ACCESS LLC,19C0001139,1023542339,,LA,,2024,,5,0.036,,,5,0.327,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
MID BRONX ENDOSCOPY CENTER LLC,33C0001168,1023551413,BRONX,NY,10453,2024,,5,,5,,5,0.086,,76.13,,,5,103,No Different Than the National Rate,9.9,7,13.8,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SKI AMBULATORY SURGICAL CENTERS LLC,03C0001379,1023567260,PEORIA,AZ,85381,2024,,5,,5,,5,0.635,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
NORTHWEST EYE SURGEONS,50C0001018,1023570488,SEATTLE,WA,98133,2024,0.006,,0.012,,0.006,,0.019,,,5,,5,,,,,,5,,5,0.259,,,,,,,5,,,,,,5,,,,,,5
NORTHWEST EYE SURGEONS,50C0001159,1023570488,SEQUIM,WA,98382,2024,0.006,,0.012,,0.006,,0.019,,,5,,5,,,,,,5,,5,0.259,,,,,,,5,,,,,,5,,,,,,5
NORTHWEST EYE SURGEONS,50C0001285,1023570488,RENTON,WA,98057,2024,0.006,,0.012,,0.006,,0.019,,,5,,5,,,,,,5,,5,0.259,,,,,,,5,,,,,,5,,,,,,5
NORTHWEST EYE SURGEONS,50C0001294,1023570488,MOUNT VERNON,WA,98273,2024,0.006,,0.012,,0.006,,0.019,,,5,,5,,,,,,5,,5,0.259,,,,,,,5,,,,,,5,,,,,,5
STAR SUITES LLC DBA STAR SURGICAL SUITES LLC,33C0001199,1023588266,GARDEN CITY,NY,11530,2024,,5,,5,,5,,1,0.00,,,5,659,No Different Than the National Rate,10,7.4,13.8,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
ADVANCED SPINE AND PAIN SURGERY CENTERS LLC,03C0001441,1023604931,PHOENIX,AZ,85012,2024,0.000,,0.000,,0.000,,0.347,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
META SURGICAL ASSOCIATES LLC,31C0001359,1023640539,MONTVALE,NJ,07645,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
WEST GEORGIA SURGERY CENTER LLC,11C0001561,1023734084,CARROLLTON,GA,30117,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,78,No Different Than the National Rate,2.2,1.4,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
LAFAYETTE SURGERY CENTER LLC,11C0001572,1023756848,LAGRANGE,GA,30241,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
SURGCENTER OF RIVERVIEW LLC DBA WEST FLORIDA SURGICAL SUITES,10C0001720,1023787488,TAMPA,FL,33607,2024,0.088,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
THE WESTMINSTER ENDOSCOPY ASC LLC DBA ENDOCENTRE OF WESTMINSTER,21C0001680,1023892411,WESTMINSTER,MD,21157,2024,,5,,5,,5,,5,,5,,5,298,No Different Than the National Rate,9.7,7,13.4,,,5,,5,,,,,,5,,,,,,5,,,,,,5
ADVANCED FAMILY SURGERY CENTER,44C0001098,1033105960,OAK RIDGE,TN,37830,2024,,5,,5,,5,0.108,,,5,,5,,,,,,5,99.87,,,5,308,No Different Than the National Rate,2,1.3,3.1,,,,,,,5,30,No Different than expected,1.1,0.6,1.9,
LAKE WORTH SURGICAL CENTER,10C0001299,1033106612,LAKE WORTH,FL,33467,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,,,,,5
NORTHWEST FLORIDA SURGICAL CENTER INC DBA NORTH FLORIDA SURGERY CENTER,10C0001193,1033113402,PENSACOLA,FL,32503,2024,,5,,5,0.021,,0.021,,,5,,5,,,,,,5,98.49,,0.666,,80,No Different Than the National Rate,2.4,1.5,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
CAPLAN BERKELEY LLP,45C0001336,1033115472,HOUSTON,TX,77027,2024,0.000,,0.018,,0.018,,0.024,,,5,,5,,,,,,5,,5,0.497,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
CAPLAN BERKELEY LLP DBA KATY AREA SURGICAL CENTER,45C0001602,1033115472,KATY,TX,77449,2024,0.000,,0.018,,0.018,,0.024,,,5,,5,,,,,,5,,5,0.497,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
CAPLAN BERKELEY LLP DBA GRAND OAKS SURGERY CENTER,45C0001739,1033115472,SPRING,TX,77386,2024,0.000,,0.018,,0.018,,0.024,,,5,,5,,,,,,5,,5,0.497,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
BERKS UROLOGIC SURGERY CENTER,39C0001139,1033116892,WYOMISSING,PA,19610,2024,,5,,5,,5,0.019,,,5,,5,,,,,,5,81.93,,,5,,,,,,5,810,No Different Than the National Rate,5.1,3.9,6.4,,,Number of Cases Too Small,,,,1
MED ATLANTIC INC,49C0001008,1033135314,RICHMOND,VA,23235,2024,0.000,,0.010,,0.000,,0.111,,,5,,5,,,,,,5,81.30,,,5,,,,,,5,2956,No Different Than the National Rate,5.4,4.7,6.3,,,Number of Cases Too Small,,,,1
GREENSPRING SURGERY CENTER,21C0001443,1033141825,BALTIMORE,MD,21209,2024,0.000,,0.000,,0.000,,0.025,,,5,,5,,,,,,5,0.61,,,5,358,No Different Than the National Rate,2.4,1.6,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
PARKWEST SURGERY CENTER,44C0001112,1033154851,KNOXVILLE,TN,37923,2024,,5,,5,,5,0.199,,,5,,5,,,,,,5,100.00,,,5,1201,No Different Than the National Rate,2,1.5,2.7,,,,,,,5,27,No Different than expected,1,0.5,1.8,
EYE SURGERY CENTER NORTHLAND LLC,26C0001118,1033162631,KANSAS CITY,MO,64155,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.098,,,,,,,5,,,,,,5,,,,,,5
LA VETA SURGICAL CENTER,05C0001178,1033177373,ORANGE,CA,92868,2024,0.000,,0.010,,0.000,,0.031,,75.00,,,5,805,No Different Than the National Rate,9.4,6.9,12.8,,99.41,,0.563,,201,No Different Than the National Rate,2,1.3,3.1,,69,No Different Than the National Rate,5.8,3.8,8.7,,46,No Different than expected,0.9,0.5,1.7,
ENDOSCOPY CENTER OF EL PASO,45C0001242,1033181862,EL PASO,TX,79902,2024,0.000,,0.000,,0.000,,0.044,,100.00,,,5,1455,No Different Than the National Rate,10.8,8.1,14.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
MAE PHYSICIANS SURGERY CENTER LLC,25C0001025,1033190129,JACKSON,MS,39202,2024,0.000,,0.000,,0.019,,0.039,,,5,,5,,,,,,5,,5,0.128,,,Number of Cases Too Small,,,,1,63,No Different Than the National Rate,4.8,3.1,7.4,,59,No Different than expected,1.2,0.7,1.9,
RIVERPOINTE SURGERY CENTER,15C0001073,1033190566,ELKHART,IN,46514,2024,0.000,,0.000,,0.000,,0.153,,,5,,5,1330,No Different Than the National Rate,10.8,8.1,14.2,,96.81,,0.000,,,Number of Cases Too Small,,,,1,207,No Different Than the National Rate,7.4,5.1,10.5,,120,No Different than expected,1.2,0.7,2,
SURGICAL ASSOCIATES ENDOSCOPY CLINIC LLC,43C0001018,1033195912,ABERDEEN,SD,57401,2024,,5,,5,,5,,5,54.89,,,5,1507,Worse Than the National Rate,13.1,10.1,17,,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,25,No Different than expected,1.3,0.7,2.4,
WEYMOUTH ENDOSCOPY LLC,22C0001049,1033199906,SOUTH WEYMOUTH,MA,02190,2024,,5,,5,,5,0.053,,98.48,,,5,3134,No Different Than the National Rate,8.9,6.8,11.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
CARLISLE ENDOSCOPY CENTER LTD,39C0001102,1033210760,CARLISLE,PA,17015,2024,,5,0.029,,,5,0.130,,97.97,,,5,2367,No Different Than the National Rate,9.1,7.1,11.9,,,5,,5,,,,,,5,,,,,,5,89,No Different than expected,0.9,0.5,1.6,
CAPE COD EYE SURGERY AND LASER CENTER,22C0001030,1033213269,SANDWICH,MA,02563,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.387,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SOUTH HILLS ENDOSCOPY CENTER,39C0001193,1033214903,PITTSBURGH,PA,15241,2024,,5,,5,,5,,5,100.00,,,5,2353,No Different Than the National Rate,11.7,9.1,15.2,,,5,,5,,,,,,5,,,,,,5,149,No Different than expected,0.8,0.4,1.4,
WESTWOOD SURGERY CENTER,05C0001714,1033215223,LOS ANGELES,CA,90025,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,43,No Different than expected,0.9,0.5,1.8,
ENDOSCOPY CENTER AT ST MARY,39C0001231,1033220751,LANGHORNE,PA,19047,2024,,5,,5,,5,,1,90.95,,,5,1994,No Different Than the National Rate,11.5,8.8,14.9,,,5,,5,,,,,,5,,,,,,5,,,,,,5
EMPIRE SURGERY CENTER,05C0001478,1033222989,BAKERSFIELD,CA,93301,2024,,5,,5,,5,,5,,5,,5,,,,,,5,20.00,,0.346,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
COSMETIC SURGERY CENTER OF SANTA MONICA,05C0001566,1033229323,SANTA MONICA,CA,90404,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,471,No Different than expected,0.9,0.6,1.4,
COSMETIC SURGERY CENTER OF SANTA MONICA,05C0002275,1033229323,SANTA MONICA,CA,90404,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,471,No Different than expected,0.9,0.6,1.4,
MCDOWELL AMBULATORY SURGERY CENTER LLC,03C0001296,1033250618,PHOENIX,AZ,85006,2024,0.000,,0.117,,0.117,,0.000,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
TEMECULA VALLEY DAY SURGERY CENTER,05C0001225,1033282173,MURRIETA,CA,92562,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.469,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
JESSCO LLC,21C0001448,1033290499,BERLIN,MD,21811,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
PIKES PEAK ENDOSCOPY AND SURGERY CENTER LLC,06C0001039,1033292214,COLORADO SPRINGS,CO,80907,2024,0.000,,0.031,,0.000,,0.094,,99.00,,,5,2495,No Different Than the National Rate,11,8.6,14.2,,100.00,,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
NORTHERN NEW JERSEY EYE INSTITUTE PA,31C0001024,1033294640,SOUTH ORANGE,NJ,07079,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.759,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
VISTA SURGERY CENTER LLC,45C0001479,1033316765,EL PASO,TX,79936,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.297,,,,,,,5,,,,,,5,,,,,,5
SSM ST CLARE SURGICAL CENTER LLC,26C0001141,1033351119,FENTON,MO,63026,2024,0.000,,0.000,,0.000,,0.359,,93.75,,,5,208,No Different Than the National Rate,9.6,7,13.3,,100.00,,0.000,,45,No Different Than the National Rate,3,1.9,4.8,,,Number of Cases Too Small,,,,1,133,No Different than expected,1.1,0.6,1.8,
TATTNALL HOSPITAL COMPANY LLC DBA OPTIM SURGERY CENTER,11C0001164,1033363064,SAVANNAH,GA,31405,2024,0.000,,0.028,,0.000,,0.083,,,5,,5,,,,,,5,100.00,,,5,803,No Different Than the National Rate,2.3,1.6,3.3,,,,,,,5,38,No Different than expected,0.9,0.5,1.8,
